"","date","average_price","weekday"
"1",2024-06-18,684.705167173252,"Tuesday"
"2",2024-06-19,658.003196930946,"Wednesday"
"3",2024-06-20,658.003196930946,"Thursday"
"4",2024-06-21,658.003196930946,"Friday"
"5",2024-06-22,658.003196930946,"Saturday"
"6",2024-06-23,658.003196930946,"Sunday"
"7",2024-06-24,658.003196930946,"Monday"
"8",2024-06-25,658.003196930946,"Tuesday"
"9",2024-06-26,658.003196930946,"Wednesday"
"10",2024-06-27,658.003196930946,"Thursday"
"11",2024-06-28,658.003196930946,"Friday"
"12",2024-06-29,658.003196930946,"Saturday"
"13",2024-06-30,658.003196930946,"Sunday"
"14",2024-07-01,658.003196930946,"Monday"
"15",2024-07-02,658.003196930946,"Tuesday"
"16",2024-07-03,658.003196930946,"Wednesday"
"17",2024-07-04,658.003196930946,"Thursday"
"18",2024-07-05,658.003196930946,"Friday"
"19",2024-07-06,658.003196930946,"Saturday"
"20",2024-07-07,658.003196930946,"Sunday"
"21",2024-07-08,658.003196930946,"Monday"
"22",2024-07-09,658.003196930946,"Tuesday"
"23",2024-07-10,658.003196930946,"Wednesday"
"24",2024-07-11,658.003196930946,"Thursday"
"25",2024-07-12,658.003196930946,"Friday"
"26",2024-07-13,658.003196930946,"Saturday"
"27",2024-07-14,658.003196930946,"Sunday"
"28",2024-07-15,658.003196930946,"Monday"
"29",2024-07-16,658.003196930946,"Tuesday"
"30",2024-07-17,658.003196930946,"Wednesday"
"31",2024-07-18,658.003196930946,"Thursday"
"32",2024-07-19,658.003196930946,"Friday"
"33",2024-07-20,658.003196930946,"Saturday"
"34",2024-07-21,658.003196930946,"Sunday"
"35",2024-07-22,658.003196930946,"Monday"
"36",2024-07-23,658.003196930946,"Tuesday"
"37",2024-07-24,658.003196930946,"Wednesday"
"38",2024-07-25,658.003196930946,"Thursday"
"39",2024-07-26,658.003196930946,"Friday"
"40",2024-07-27,658.003196930946,"Saturday"
"41",2024-07-28,658.003196930946,"Sunday"
"42",2024-07-29,658.003196930946,"Monday"
"43",2024-07-30,658.003196930946,"Tuesday"
"44",2024-07-31,658.003196930946,"Wednesday"
"45",2024-08-01,658.003196930946,"Thursday"
"46",2024-08-02,658.003196930946,"Friday"
"47",2024-08-03,658.003196930946,"Saturday"
"48",2024-08-04,658.003196930946,"Sunday"
